0,4,Photography,Vehicles,Cosmetics,11.684154591657158,10.3292796680971
1,3,Television programme,TV chat shows,Restaurants,8.561479263358851,8.484261537042373
2,6,Music,Television programme,TV chat shows,16.011591404429808,4.762311523189798
3,5,Films,Family,Vehicles,16.84825727426969,14.877557622887682
4,3,Music,Television programme,TV chat shows,8.561289441720842,28.473087338147508
5,4,Games,Television programme,Restaurants,13.225668149430202,6.393748717551578
6,4,Television programme,Restaurants,Coffeehouses,7.227620536506532,6.845551401011138
7,4,Television programme,TV chat shows,Restaurants,22.366304415347052,5.889434387231422
8,5,Television programme,TV chat shows,Travel,10.35492549790519,6.9071973687838835
9,4,Restaurants,Coffeehouses,Diners,4.675996124274176,17.79583887997701
10,5,Television programme,Restaurants,Sports,11.076288997893908,31.487499343276475
11,4,Live events,Television programme,Restaurants,9.079462245586978,25.298944113013626
12,5,Rock music,Television programme,Family,4.328766073511119,24.355549321463766
13,5,Television programme,Restaurants,Coffeehouses,15.178948365100783,30.57415099141167
14,4,Games,Television programme,Restaurants,17.409757712501303,33.57174141076568
15,5,Music,Vehicles,4x4s,15.799182809303533,20.909285258598423
16,4,Television programme,Food,Barbecue,15.309135664806735,2.773584874372464
17,4,Television programme,TV chat shows,Restaurants,2.88841154535597,26.56777961894992
18,5,Reading,Restaurants,Coffeehouses,12.413016101111296,25.325450069864427
19,4,Television programme,Travel,Sports,5.88682054108394,18.87818855308855
20,3,Sales,Television programme,Restaurants,7.351323647876713,2.9229184357654727
21,5,Films,Music,Reading,4.876420732157129,10.559121071571262
22,3,Games,Television programme,TV chat shows,7.978156049043676,10.807707951225728
23,5,Television programme,TV chat shows,Restaurants,16.69548860147679,19.267372979983353
24,5,Reading,Television programme,Restaurants,6.953165270365768,4.046372394850954
25,3,Business,Restaurants,Coffeehouses,3.713708431938712,12.171991091185443
26,4,Television programme,Restaurants,Coffeehouses,22.696727321425676,17.22021741812
27,3,Television programme,Restaurants,Politics and social issues,3.9451821206765008,2.624635751721769
28,4,Arts and music,Pets,Computers,14.346844550761926,15.488521781548943
29,4,Restaurants,Pets,Birds,0.8405498510577871,2.5386730838236904
30,4,Alcoholic drink,Arts and music,Clothing,19.614431855619813,7.603562342768919
31,4,Restaurants,Coffeehouses,Diners,20.209868141164616,35.793263533242566
32,4,Music,Blues music,Television programme,19.600343128855393,20.253317240040996
33,5,Reading,Television programme,TV chat shows,10.387097899901734,36.28312305110195
34,4,Personal finance,Television programme,TV chat shows,11.356830932947668,21.408545854984936
35,5,Television programme,TV chat shows,TV comedies,14.3364254497823,17.30264299460982
36,4,Television programme,TV chat shows,TV comedies,10.198472131581367,7.49311988777776
37,4,Television programme,TV chat shows,TV comedies,9.280929955823554,9.792990841611557
38,4,Television programme,TV chat shows,TV comedies,16.659754113446564,0.9802037683573488
39,4,Reading,Television programme,TV chat shows,3.2043565740317197,42.82238482623002
40,5,Restaurants,Sports,Television programme,13.760421368539754,20.659507340470256
41,5,Television programme,Restaurants,Coffeehouses,13.822260328333769,18.26688458911192
42,5,Games,Television programme,TV chat shows,12.628550227012376,23.267736441744542
43,5,Friendship,Restaurants,Coffeehouses,16.154662643551106,14.9966231001425
44,4,Television programme,Restaurants,Clothing,16.675213042199744,25.1094951264935
45,4,Games,Television programme,TV chat shows,18.02319891512998,32.723581074224306
46,4,Restaurants,Home and garden,DIY,2.413322605863603,14.936483281009473
47,5,Television programme,TV chat shows,Restaurants,16.343436766720536,19.72161448698432
48,5,Reading,Television programme,TV chat shows,0.881420970742294,5.422505547989672
49,6,Television programme,Photography,Sculpture,12.682946267587443,25.940894717895944
50,5,Family,Arts and music,Travel,18.820001005357163,11.526084374930988
51,3,Music videos,Television programme,TV chat shows,9.576495677013767,24.811312265894955
52,5,Sales,Television programme,TV chat shows,8.716491792004549,4.536042335463815
53,4,Television programme,Restaurants,Vehicles,11.592394956062241,20.825891494203
54,4,Video games,Music,Arts and music,17.36827142418454,11.225643564755613
55,5,Live events,Restaurants,Coffeehouses,13.040307386151483,5.715477678478955
56,5,Friendship,Alcoholic drink,Restaurants,6.86380825372521,30.90624672242612
57,5,Television programme,Food,Arts and music,12.431558594131197,18.4860042653564
58,4,Restaurants,Coffeehouses,Diners,13.967187634001416,4.199956753787145
59,4,Television programme,Restaurants,Coffeehouses,15.836186617006089,32.08349014649719
60,5,Music,Television programme,TV chat shows,13.984431753487268,14.236076427213948
61,4,Television programme,TV chat shows,TV comedies,13.814257240044528,10.452818461490935
62,0,Music,Television programme,TV chat shows,5.353434703614686,34.067345707461946
63,5,Television programme,Restaurants,Coffeehouses,0.9036779801407384,22.382748813233505
64,4,Television programme,Arts and music,Acting,9.66976588751546,29.537227377591144
65,4,Games,Television programme,TV chat shows,3.7578190792254285,23.702180984247356
66,4,Television programme,Arts and music,Acting,2.810720548591429,21.224331996127646
67,3,Television programme,TV chat shows,TV comedies,7.896978856655823,8.282235752077082
68,4,Restaurants,Coffeehouses,Diners,13.81117623333218,5.367225474335093
69,4,Television programme,TV chat shows,Home and garden,11.29694661448221,14.445022653920313
70,4,Television programme,TV chat shows,TV comedies,8.797261872400682,9.899293802980695
71,4,Television programme,Restaurants,Arts and music,15.511490190055765,0.05267901525888874
72,4,Live events,Vehicles,4x4s,18.839669582560276,4.048692012680897
73,5,Alcoholic drink,Restaurants,Coffeehouses,10.019788750029898,25.827893152177214
74,4,Television programme,Restaurants,Consumer electronics,16.95107753962481,11.780275204097613
75,5,Films,Television programme,TV chat shows,17.884968750701454,20.774608749253545
76,5,Music,Television programme,TV chat shows,14.6112081027504,20.077306965697865
77,4,Restaurants,Politics and social issues,Charity and causes,16.92226250859349,17.127318585246538
78,5,Restaurants,Coffeehouses,Diners,10.85069749040016,22.579418307381246
79,4,Television programme,Pets,Birds,2.220788787889557,9.484064789835989
80,5,Business,Television programme,Restaurants,14.896170430672885,27.910884622010002
81,4,Games,Television programme,TV chat shows,12.680748430056031,16.412817640725567
82,4,Beauty,Sports,American football,13.688446864276177,11.04966065344302
83,5,Vehicles,4x4s,Automobiles,6.163364689549864,5.602066220294114
84,5,Drinks,Restaurants,Pets,12.190812436600174,21.172110991355652
85,4,Television programme,Restaurants,Shoes,13.83006966247097,14.333028040189554
86,4,Sales,Restaurants,Coffeehouses,13.526729984176232,7.999468773367003
87,4,Games,Restaurants,Coffeehouses,1.0385822119872223,43.53911400276455
88,3,Television programme,Arts and music,Acting,10.916044330192449,13.910011712759477
89,5,Television programme,TV chat shows,Home and garden,3.615314093686135,38.25118051891752
90,4,Television programme,TV chat shows,Restaurants,14.569900369597848,31.334782725661732
91,4,Television programme,TV chat shows,TV comedies,10.067262795293672,19.117075272729164
92,3,Television programme,TV chat shows,TV comedies,10.187807887743777,9.197120784512231
93,4,Personal finance,Television programme,TV chat shows,12.614028714444345,8.262789061296257
94,5,Business,Television programme,TV chat shows,15.429633742420275,42.818613013169355
95,4,Music,Reading,Restaurants,5.094282962024165,12.487602053468658
96,4,Music,Restaurants,Home and garden,14.849598802689712,14.848679416032105
97,5,Television programme,TV chat shows,TV comedies,2.6223351126696466,2.140364094131513
98,4,Television programme,Restaurants,Clothing,10.449589582812926,35.38703655389078
99,3,Television programme,Restaurants,Vehicles,10.812390889853955,16.680336705863198
100,5,Food,Vehicles,4x4s,13.116376910612258,21.65090244039003
101,4,Television programme,TV chat shows,Arts and music,6.549337901030023,23.399679290475053
102,3,Television programme,TV chat shows,TV comedies,17.594674193493262,10.446703621993787
103,5,Television programme,Restaurants,Coffeehouses,13.505604540127857,6.8283860716208205
104,4,Television programme,Restaurants,Automobiles,14.365336904939136,22.46505315780242
105,5,Television programme,Restaurants,Vehicles,18.736696546843735,21.00483774954703
106,3,Music,Television programme,TV chat shows,12.899999113247056,11.76725561524508
107,4,Sales,Restaurants,Coffeehouses,8.372998894928486,1.3526738819555284
108,4,Restaurants,Travel,Adventure travel,16.239809573579187,14.316622993635516
109,5,Games,Television programme,TV chat shows,0.07280394165530701,10.745543204479869
110,3,Music,Vehicles,4x4s,19.424494614756327,26.187070012482117
111,5,Video games,Arts and music,Vehicles,14.954496098198586,13.523520862108889
112,4,Television programme,TV chat shows,TV comedies,12.128096891728756,12.038220116553369
113,3,Television programme,TV chat shows,TV comedies,14.331925323288008,6.538595871450719
114,4,Drinks,Travel,Sports,13.265013405611144,0.3731307205374428
115,5,Restaurants,Coffeehouses,Software,7.5896180282784735,11.257397191841784
116,5,Restaurants,Coffeehouses,Televisions,12.363448692076068,2.8756991824701927
117,4,Television programme,Restaurants,Sports,18.935712785803094,28.575805619537483
118,5,Restaurants,Coffeehouses,Sports,1.54305619277965,10.537628282923247
119,4,Television programme,Restaurants,Vehicles,10.554795372973942,14.260420081673296
120,5,Television programme,TV chat shows,TV comedies,3.83647675896563,13.174918550194194
121,5,Music,Television programme,TV chat shows,0.18206248347105358,24.80486257295872
122,4,Restaurants,Coffeehouses,Diners,13.82253773433866,36.640934790665455
123,3,Television programme,Restaurants,Coffeehouses,2.0264918163931886,4.324075612623188
124,4,Television programme,Restaurants,Beauty,4.2952261880638085,4.477325702540444
125,6,Television programme,TV chat shows,Photography,8.955556087978605,10.173394226026321
126,5,Television programme,Alcoholic drink,Restaurants,5.285224730837073,27.165046361799618
127,5,Television programme,Pets,Birds,2.4863978236568114,18.681079892480337
128,4,Television programme,TV chat shows,TV comedies,6.715569879868639,1.442271678768039
129,5,Games,Television programme,TV chat shows,23.846108301825524,32.29621369150511
130,4,Restaurants,Coffeehouses,Diners,4.707221984655802,11.369609040803638
131,5,Television programme,Arts and music,Acting,22.713142130510303,11.868585470067005
132,4,Music,Television programme,TV chat shows,4.915605878871141,8.422145194075583
133,4,Personal finance,Television programme,Restaurants,12.554084543403638,27.990003800041983
134,3,Restaurants,Arts and music,Acting,14.947967285741292,23.659253717694003
135,3,Restaurants,Coffeehouses,Diners,0.3100080315524387,25.384475026511602
136,4,Personal finance,Television programme,TV chat shows,13.575352189982059,33.951740510325
137,5,Television programme,Restaurants,Coffeehouses,8.909353812354311,4.462837890884806
138,4,Music,Television programme,Restaurants,22.562718656549013,22.295125967816723
139,5,Television programme,TV chat shows,TV comedies,12.724271620830795,22.856222679449374
140,4,Television programme,TV chat shows,TV comedies,12.980722887967943,20.00822050302291
141,4,Television programme,Food,Barbecue,14.745845259780662,6.536361697840841
142,3,Restaurants,Pets,Birds,10.384618365718234,11.864059120107648
143,4,Television programme,TV chat shows,Restaurants,1.6467212615732674,34.906827439384614
144,4,Music,Television programme,TV chat shows,11.367643723401267,3.610016861664654
145,5,Television programme,Restaurants,Coffeehouses,13.642957869911587,16.185330030084092
146,5,Television programme,TV chat shows,TV comedies,11.479308228691037,53.62563254343265
147,4,Television programme,Home and garden,DIY,4.1326021424809145,29.063019966807147
148,5,Television programme,TV chat shows,TV comedies,16.074297721219217,24.90551231175519
149,4,Rock music,Television programme,TV chat shows,7.389921545277584,25.216201934965902
150,5,Restaurants,Coffeehouses,Politics and social issues,6.328245481235642,30.7562869421335
151,4,Reading,Restaurants,Coffeehouses,14.343720763531028,17.150275034178872
152,4,Live events,Television programme,TV chat shows,9.172857963804377,4.669126062149202
153,4,Music,Fashion accessories,Sports,21.45520609653537,9.522727513104712
154,5,Pop music,Restaurants,Coffeehouses,1.3002167552230866,18.59221299875698
155,5,Restaurants,Computers,Computer memory,0.29441534525294166,22.02025718810748
156,4,Reading,Television programme,TV chat shows,4.68293926927,17.991532243656685
157,4,Television programme,TV chat shows,TV comedies,4.149760249500672,4.87117701651861
158,4,Personal finance,Television programme,Friendship,10.279469593619538,8.198746518752618
159,4,Restaurants,Coffeehouses,Diners,10.913156326048702,23.75572165945148
160,5,Games,Television programme,TV chat shows,5.362884856039796,1.2312365387671527
